iter	Passed	Remaining
179	449	2047
180	450	2040
181	452	2033
182	453	2024
183	454	2016
184	455	2007
185	456	1998
186	458	1991
187	460	1987
188	461	1979
189	462	1971
190	463	1965
191	465	1957
192	466	1949
193	467	1941
194	468	1934
195	469	1927
196	471	1919
197	472	1911
198	472	1903
199	473	1895
200	475	1888
201	476	1882
202	477	1875
203	478	1867
204	480	1861
205	481	1854
206	482	1847
207	483	1841
208	484	1834
209	485	1827
210	486	1820
211	488	1816
212	489	1810
213	491	1804
214	492	1798
215	493	1791
216	494	1785
217	496	1779
218	496	1772
219	497	1765
220	499	1758
221	500	1753
222	501	1747
223	502	1741
224	504	1736
225	505	1730
226	506	1724
227	507	1718
228	509	1713
229	510	1708
230	511	1701
231	512	1697
232	514	1692
233	515	1687
234	516	1682
235	517	1676
236	519	1672
237	521	1668
238	522	1663
239	523	1657
240	524	1652
241	525	1646
242	526	1641
243	527	1635
244	528	1629
245	530	1625
246	532	1621
247	533	1617
248	534	1612
249	535	1607
250	537	1602
251	538	1597
252	539	1594
253	540	1588
254	542	1583
255	543	1578
256	545	1577
257	546	1572
258	547	1567
259	548	1562
260	550	1557
261	551	1554
262	572	1604
263	575	1603
264	578	1603
265	579	1599
266	582	1598
267	584	1595
268	586	1594
269	588	1592
270	590	1589
271	593	1588
272	595	1586
273	596	1581
274	606	1599
275	609	1599
276	612	1598
277	615	1598
278	619	1601
279	621	1599
280	623	1594
281	625	1593
282	629	1593
283	632	1595
284	634	1591
285	639	1596
286	642	1596
287	644	1592
288	645	1588
289	647	1584
290	650	1584
291	652	1581
292	653	1577
293	654	1572
294	656	1569
295	657	1564
296	659	1560
297	660	1555
298	661	1550
299	662	1545
300	664	1542
301	665	1538
302	666	1533
303	667	1529
304	669	1524
305	670	1520
306	671	1515
307	672	1511
308	673	1506
309	676	1504
310	678	1502
311	681	1503
312	684	1501
313	686	1500
314	689	1499
315	691	1496
316	692	1492
317	693	1488
318	694	1483
319	696	1479
320	697	1475
321	699	1472
322	700	1468
323	702	1465
324	704	1462
325	706	1460
326	708	1457
327	709	1453
328	713	1455
329	715	1451
330	717	1450
331	719	1447
332	720	1443
333	723	1441
334	725	1439
335	727	1437
336	728	1433
337	729	1429
338	732	1428
339	734	1424
340	735	1421
341	736	1417
342	738	1414
343	739	1410
344	742	1408
345	743	1405
346	745	1403
347	746	1399
348	748	1396
349	750	1393
350	752	1390
351	754	1388
352	755	1384
353	757	1381
354	758	1378
355	760	1374
356	761	1371
357	763	1368
358	764	1365
359	770	1368
360	775	1373
361	777	1370
362	782	1372
363	785	1372
364	787	1370
365	790	1368
366	793	1368
367	796	1367
368	798	1364
369	800	1362
370	802	1359
371	804	1357
372	807	1357
373	809	1355
374	812	1354
375	814	1351
376	816	1348
377	818	1347
378	822	1347
379	825	1346
380	828	1345
381	833	1348
382	835	1345
383	839	1347
384	842	1345
385	844	1343
386	846	1341
387	849	1339
388	851	1337
389	853	1335
390	855	1332
391	857	1329
392	860	1328
393	862	1326
394	864	1324
395	866	1321
396	868	1319
397	872	1319
398	875	1319
399	877	1316
400	879	1313
401	881	1310
402	882	1307
403	884	1304
404	885	1301
405	887	1298
406	891	1298
407	894	1297
408	896	1295
409	898	1293
410	903	1294
411	906	1293
412	908	1291
413	910	1288
414	911	1285
415	913	1281
416	915	1280
417	917	1276
418	918	1273
419	921	1272
420	923	1269
421	925	1267
422	928	1266
423	930	1264
424	933	1262
425	935	1260
426	937	1257
427	939	1255
428	941	1252
429	942	1249
430	944	1246
431	945	1243
432	947	1240
433	949	1238
434	951	1236
435	953	1233
436	955	1230
437	957	1228
438	959	1225
439	962	1224
440	964	1222
441	965	1219
442	967	1216
443	969	1213
444	970	1210
445	972	1207
446	973	1204
447	978	1205
448	981	1204
449	982	1201
450	987	1202
451	990	1200
452	992	1198
453	994	1195
454	995	1192
